index,0
642,2012.comp.409
643,2013.comp.153
644,2013.comp.409
645,2014.comp.153
646,2014.comp.409
647,2015.comp.153
648,2015.comp.409
649,2016.comp.153
650,2016.comp.409
651,2019.comp.153
652,2020.comp.153
653,2008.comp.155
654,2008.comp.912
655,2009.comp.155
656,2009.comp.912
657,2011.comp.155
658,2011.comp.912
659,2012.comp.155
660,2012.comp.912
661,2013.comp.155
662,2013.comp.912
663,2017.comp.155
664,2017.comp.600089
665,2018.comp.155
666,2018.comp.600089
667,2014.comp.156
668,2014.comp.600576
669,2015.comp.156
670,2015.comp.600633
671,2015.comp.600570
672,2016.comp.156
673,2016.comp.600633
674,2018.comp.156
675,2018.comp.909
676,2019.comp.156
677,2019.comp.909
678,2019.comp.600570
679,2019.comp.688039
680,2020.comp.156
681,2020.comp.600996
682,2020.comp.909
683,2020.comp.688039
684,2020.comp.600570
685,2020.comp.607
686,2015.comp.157
687,2020.comp.157
688,2020.comp.2843
689,2020.comp.301
690,2020.comp.300819
691,2013.comp.333
692,2013.comp.967
693,2015.comp.333
694,2015.comp.967
695,2016.comp.333
696,2016.comp.967
697,2020.comp.333
698,2020.comp.688219
699,2007.comp.338
700,2007.comp.880
701,2007.comp.528
702,2008.comp.338
703,2008.comp.880
704,2009.comp.338
705,2009.comp.880
706,2010.comp.338
707,2010.comp.680
708,2010.comp.880
709,2011.comp.338
710,2011.comp.680
711,2011.comp.600213
712,2011.comp.880
713,2011.comp.600166
714,2012.comp.338
715,2012.comp.600213
716,2012.comp.880
717,2012.comp.600166
718,2012.comp.680
719,2013.comp.338
720,2013.comp.680
721,2013.comp.880
722,2013.comp.600213
723,2013.comp.600166
724,2014.comp.338
725,2014.comp.880
726,2014.comp.600166
727,2014.comp.600213
728,2014.comp.680
729,2015.comp.338
730,2015.comp.880
731,2015.comp.600166
732,2015.comp.600213
733,2015.comp.680
734,2016.comp.338
735,2016.comp.880
736,2016.comp.600213
737,2016.comp.600166
738,2016.comp.680
739,2017.comp.338
740,2017.comp.680
741,2017.comp.880
742,2017.comp.600166
743,2017.comp.600213
744,2018.comp.338
745,2018.comp.880
746,2018.comp.600213
747,2018.comp.600166
748,2018.comp.680
749,2019.comp.338
750,2019.comp.880
751,2019.comp.600213
752,2019.comp.600166
753,2019.comp.680
754,2020.comp.338
755,2020.comp.680
756,2020.comp.880
757,2020.comp.600166
758,2020.comp.600213
759,2004.comp.400
760,2004.comp.723
761,2005.comp.400
762,2005.comp.723
763,2006.comp.400
764,2006.comp.723
765,2009.comp.400
766,2009.comp.723
767,2010.comp.400
768,2010.comp.723
769,2011.comp.400
770,2011.comp.723
771,2012.comp.400
772,2012.comp.723
773,2013.comp.400
774,2013.comp.723
775,2014.comp.400
776,2014.comp.723
777,2015.comp.400
778,2015.comp.723
779,2016.comp.400
780,2016.comp.723
781,2020.comp.400
782,2020.comp.723
783,2010.comp.401
784,2010.comp.600217
785,2008.comp.401
786,2008.comp.600217
787,2012.comp.401
788,2012.comp.856
789,2013.comp.401
790,2013.comp.856
791,2013.comp.600217
792,2014.comp.401
793,2014.comp.600217
794,2014.comp.856
795,2015.comp.401
796,2015.comp.856
797,2016.comp.401
798,2016.comp.601992
799,2016.comp.856
800,2017.comp.401
801,2017.comp.856
802,2017.comp.601992
803,2018.comp.401
804,2018.comp.601992
805,2018.comp.856
806,2019.comp.401
807,2019.comp.601992
808,2019.comp.856
809,2020.comp.401
810,2020.comp.600585
811,2020.comp.856
812,2020.comp.601992
813,2014.comp.402
814,2014.comp.600048
815,2003.comp.404
816,2003.comp.921
817,2004.comp.404
818,2004.comp.921
819,2005.comp.404
820,2005.comp.921
821,2006.comp.404
822,2006.comp.921
823,2006.comp.600060
824,2007.comp.404
825,2007.comp.921
826,2008.comp.404
827,2008.comp.921
828,2008.comp.600839
829,2008.comp.521
830,2009.comp.404
831,2009.comp.921
832,2009.comp.521
833,2009.comp.600839
834,2010.comp.404
835,2010.comp.600839
836,2010.comp.921
837,2010.comp.521
838,2011.comp.404
839,2011.comp.600839
840,2011.comp.521
841,2011.comp.921
842,2012.comp.404
843,2012.comp.600839
844,2012.comp.521
